ZIP,LAT,LNG
46741,41.216995, -84.951172
46742,41.548594, -84.879092
46743,41.215359, -84.851125
46745,40.951657, -85.009422
46746,41.725354, -85.344932
46747,41.565687, -85.157978
46748,41.248585, -85.161149
46750,40.878460, -85.496399
46755,41.449220, -85.275147
46759,40.603927, -85.178498
46760,41.345491, -85.552692
46761,41.634450, -85.377399
46763,41.301427, -85.232689
46764,41.224389, -85.620412
46765,41.232447, -85.048745
46766,40.708823, -85.288636
46767,41.470883, -85.570523
46770,40.837684, -85.324251
46771,41.694296, -85.296149
46772,40.721508, -84.913716
46773,40.982148, -84.875607
46774,41.089259, -84.972549
46776,41.721181, -85.165915
46777,40.869136, -85.147577
46779,41.577202, -85.039473
46781,40.632380, -85.268890
46783,40.969261, -85.357314
46784,41.500444, -85.388310
46785,41.323197, -84.877756
46786,41.532044, -85.272374
46787,41.066251, -85.619724
46788,41.272928, -84.908026
46791,40.837816, -85.232101
46792,40.684316, -85.443330
46793,41.452403, -85.015268
46794,41.462190, -85.452201
46795,41.553974, -85.330905
46797,41.128395, -84.858980
46798,40.938582, -85.214712
46799,40.911504, -85.285755
46802,41.069304, -85.165160
46803,41.069874, -85.088544
46804,41.052918, -85.241650
46805,41.100110, -85.117711
46806,41.046823, -85.088361
46807,41.044893, -85.147602
46808,41.097775, -85.177021
46809,40.998405, -85.205235
46814,41.050882, -85.299234
46815,41.102735, -85.058629
46816,41.000785, -85.036179
46818,41.155856, -85.253014
46819,40.974587, -85.133593
46825,41.152413, -85.127091
46835,41.152980, -85.040800
46845,41.211995, -85.108804
46901,40.531266, -86.169537
46902,40.437275, -86.094553
46910,41.043832, -86.036308
46911,40.637417, -85.945821
46913,40.503001, -86.503452
46914,40.628598, -86.094769
46915,40.477734, -86.386590
46917,40.626869, -86.475047
46919,40.594183, -85.869644
46920,40.464409, -86.494811
46922,41.138130, -86.413626
46923,40.610524, -86.637989
46926,40.887938, -86.049986
46928,40.405898, -85.682305
46929,40.554751, -86.476386
46930,40.407335, -85.571487
46931,40.947539, -86.264270
46932,40.597241, -86.250469
46933,40.479845, -85.582288
46936,40.484302, -85.927782
46938,40.459646, -85.626941
46939,40.992876, -86.400545
46940,40.690906, -85.689231
46941,40.823115, -85.688947
46943,40.975386, -85.842930
46946,41.040430, -85.728422
46947,40.759919, -86.376113
46950,40.888204, -86.364948
46951,40.947573, -86.105392
46952,40.599427, -85.629225
46953,40.519395, -85.645026
46957,40.388298, -85.495962
46958,40.821933, -86.117007
46959,40.620859, -86.107153
46960,41.161352, -86.535546
46961,40.766510, -86.191686
46962,40.988512, -85.768369
46967,40.694682, -86.195106
46968,41.175341, -86.546361
46970,40.760125, -86.061471
46974,40.951906, -85.933516
46975,41.075438, -86.250139
46978,40.856627, -86.512501
46979,40.429421, -86.275733
46982,41.063312, -85.882928
46984,40.667769, -85.830127
46985,40.950787, -86.573883
46986,40.497945, -85.819279
46987,40.568813, -85.765358
46988,40.877117, -86.234743
46989,40.448635, -85.481366
46990,40.897336, -85.731383
46991,40.628038, -85.514210
46992,40.787305, -85.826434
46994,40.667327, -86.254550
46996,41.062011, -86.657974
46998,40.567605, -86.349666
47001,39.072665, -84.965538
47003,39.559685, -84.834261
47006,39.291996, -85.215884
47010,39.501581, -84.848717
47011,38.881620, -85.076128
47012,39.427315, -84.983461
47016,39.372219, -84.890262
47017,38.935533, -85.185945
47018,38.996765, -85.086623
47020,38.819261, -84.923974
47022,39.204900, -84.951741
47023,39.080546, -85.381852
47024,39.476872, -85.199038
47025,39.165524, -84.866317
47030,39.424202, -85.132571
47031,39.124244, -85.156451
47032,39.086912, -85.043662
47034,39.203982, -85.327471
47035,39.309224, -84.905542
47036,39.391200, -85.245798
47037,39.169482, -85.325656
47038,38.850304, -84.849950
47040,38.922057, -84.941033
47041,39.234052, -85.083768
47042,39.019440, -85.255113
47043,38.790365, -85.090993
47060,39.301338, -84.885706
47102,38.765011, -85.792736
47104,38.540304, -85.421392
47106,38.464300, -85.899850
47108,38.640027, -86.248533
47110,38.098852, -86.185044
47111,38.466355, -85.632505
47112,38.195517, -86.162499
47114,38.285817, -86.084556
47115,38.348952, -86.209964
47116,38.324227, -86.622010
47117,38.106642, -85.967356
47118,38.310091, -86.497430
47119,38.371949, -85.881518
47120,38.460364, -86.188720
47122,38.305960, -85.984844
47123,38.267133, -86.479372
47124,38.371492, -86.010607
47125,38.463600, -86.313139
47126,38.547252, -85.776209
47129,38.313141, -85.768453
47130,38.332696, -85.696419
47135,38.048816, -86.074351
47136,38.235079, -85.966763
47137,38.168121, -86.390479
47138,38.682475, -85.584686
47140,38.384301, -86.370701
47141,38.547956, -85.612115
47142,38.084881, -86.213131
47143,38.468623, -85.768154
47145,38.329877, -86.306582
47147,38.592228, -85.543926
47150,38.283506, -85.847601
47160,38.164455, -86.050997
47161,38.321795, -86.103592
47162,38.545860, -85.460052
47163,38.533074, -85.669844
47164,38.413092, -86.095786
47165,38.503446, -86.007002
47166,38.306882, -86.167419
47167,38.611460, -86.095905
47170,38.685201, -85.844056
47172,38.399506, -85.774251
47175,38.376592, -86.568018
47177,38.589699, -85.791876
47201,39.158873, -85.993199
47203,39.230403, -85.832160
47220,38.876281, -86.049057
47223,39.050074, -85.472026
47224,38.888028, -85.215093
47226,39.282458, -85.869112
47227,38.867579, -85.654136
47229,38.807113, -85.864840
47230,38.792380, -85.625116
47231,38.900912, -85.494614
47232,39.112058, -85.789256
47234,39.377362, -85.767900
47235,38.991705, -86.136101
47240,39.305991, -85.478417
47243,38.668701, -85.482235
47244,39.219042, -85.701540
47246,39.299253, -85.767011
47247,39.059532, -85.888138
47250,38.815317, -85.351135
47260,38.836742, -86.197754
47263,39.309440, -85.330177
47264,38.979029, -86.250752
47265,39.014661, -85.629937
47270,38.839337, -85.722862
47272,39.411013, -85.621407
47273,39.075790, -85.736847
47274,38.966511, -85.937722
47280,39.296587, -85.950521
47281,38.788527, -86.106341
47282,38.982353, -85.610731
47283,39.173689, -85.588747
47302,40.126910, -85.382469
47303,40.271643, -85.377772
47304,40.236332, -85.459814
47305,40.194099, -85.385939
47306,40.202547, -85.405132
47320,40.271703, -85.272799
47324,39.741173, -84.851735
47325,39.691146, -85.020236
47326,40.548680, -84.967266
47327,39.827428, -85.175101
47330,39.786249, -85.022256
47331,39.624084, -85.157338
47334,40.118682, -85.524594
47335,39.812537, -85.205175
47336,40.386666, -85.210360
47337,39.802476, -85.437276
47338,40.342384, -85.337455
47339,39.938777, -85.079129
47340,40.180757, -85.133663
47341,39.972320, -84.891734
47342,40.328580, -85.507983
47344,39.878307, -85.465383
47345,39.893863, -85.060180
47346,39.931638, -85.168192
47348,40.466214, -85.340374
47351,39.906726, -85.524555
47352,39.795720, -85.367066
47353,39.623111, -84.925152
47354,40.040842, -85.192539
47355,40.044174, -84.927052
47356,40.031458, -85.507425
47357,39.751359, -85.146917
47358,40.057341, -85.112956
47359,40.551281, -85.283667
47360,40.011265, -85.258203
47361,40.004190, -85.385059
47362,39.930459, -85.369580
47367,40.082648, -85.387219
47368,40.182196, -85.194189
47369,40.507343, -85.142062
47371,40.418997, -84.962799
47373,40.337508, -85.160845
47374,39.832079, -84.889699
47380,40.286745, -85.030029
47381,40.381786, -84.866884
47382,40.236391, -84.917484
47383,40.141861, -85.266121
47384,39.909241, -85.550892
47385,39.832905, -85.446008
47386,40.055073, -85.385654
47387,39.838465, -85.298534
47388,40.004482, -85.443439
47390,40.205668, -84.846428
47393,39.962996, -85.003691
47394,40.167974, -84.987308
47396,40.189183, -85.517178
47401,39.102306, -86.442835
47403,39.085219, -86.612340
47404,39.219531, -86.591196
47405,39.168209, -86.518614
47406,39.177797, -86.515448
47408,39.229815, -86.467254
47420,38.913158, -86.548919
47421,38.863494, -86.452230
47424,39.020048, -86.882428
47427,39.232829, -87.016135
47429,39.273303, -86.615937
47431,39.236601, -86.902939
47432,38.485527, -86.641906
47433,39.355787, -86.641547
47434,39.011912, -86.547286
47436,38.954149, -86.385977
47437,38.714743, -86.676968
47438,39.158915, -87.187359
47441,39.044695, -87.165501
47443,38.958170, -87.099145
47446,38.747201, -86.518136
47448,39.179530, -86.235511
47449,38.927130, -87.003467
47451,38.892959, -86.523550
47452,38.647143, -86.433430
47453,38.941630, -86.775709
47454,38.510025, -86.451821
47455,39.316501, -86.956155
47456,39.465239, -86.691333
47457,38.909139, -86.904750
47458,39.070329, -86.507227
47459,39.112793, -86.749576
47460,39.285969, -86.792025
47462,38.958323, -86.647567
47464,39.299803, -86.649995
47465,39.047972, -87.034871
47467,38.767864, -86.344361
47468,39.270849, -86.392506
47469,38.637600, -86.599153
47470,38.818254, -86.637138
47471,39.143294, -87.005186
47501,38.662060, -87.173647
47512,38.783522, -87.320652
47513,38.304258, -86.714111
47514,38.156200, -86.586209
47515,38.183913, -86.703982
47516,38.771006, -87.419265
47519,38.602659, -86.992661
47520,37.944942, -86.668258
47521,38.408491, -86.721023
47522,38.892320, -86.816735
47523,38.178794, -87.025759
47524,38.494770, -87.610887
47525,38.032359, -86.559701
47527,38.468858, -86.785924
47528,38.833175, -87.253351
47529,38.854967, -87.080001
47531,38.039710, -86.851428
47532,38.221348, -86.860563
47535,38.872348, -87.307670
47536,38.112290, -86.836519
47537,38.074167, -87.036126
47541,38.235278, -87.046164
47542,38.296585, -86.966599
47546,38.418779, -86.932557
47550,38.067186, -86.921311
47551,38.114113, -86.569572
47552,38.114551, -86.999676
47553,38.660781, -86.904069
47557,38.578834, -87.342777
47558,38.646137, -87.040439
47561,38.863914, -87.438327
47562,38.833089, -86.973432
47564,38.483041, -87.093828
47567,38.462700, -87.305019
47568,38.764087, -87.102429
47574,37.950036, -86.562127
47575,38.317808, -86.804462
47576,38.176996, -86.617343
47577,38.152526, -86.808938
47578,38.902340, -87.193521
47579,38.110937, -86.915134
47580,38.355203, -86.767156
47581,38.655694, -86.762600
47584,38.255502, -87.259526
47585,38.268350, -87.158083
47586,38.039096, -86.701995
47588,38.072389, -86.778403
47590,38.360628, -87.100361
47591,38.628561, -87.501485
47596,38.866496, -87.227734
47597,38.654452, -87.298744
47598,38.387040, -87.211447
47601,38.051443, -87.254533
47610,38.065322, -87.409527
47611,38.027918, -87.057458
47612,38.193026, -87.699246
47613,38.158948, -87.417471
47615,37.969660, -86.963824
47616,38.240052, -87.890844
47619,38.183748, -87.308139
47620,37.931959, -87.905711
47630,37.952897, -87.346470
47631,38.109131, -87.901792
47633,38.175907, -87.787892
47634,37.939468, -87.182452
47635,37.883458, -87.100911
47637,38.135734, -87.151319
47638,38.064381, -87.777636
47639,38.176143, -87.572939
47640,38.478176, -87.484032
47648,38.248647, -87.550882
47649,38.346714, -87.453413
47654,38.249505, -87.392292
47660,38.296159, -87.328006
47665,38.276670, -87.722673
47666,38.417797, -87.600469
47670,38.344905, -87.584786
47683,38.276782, -87.376955
47708,37.974624, -87.573265
47710,38.025505, -87.575809
47711,38.015301, -87.536743
47712,37.926457, -87.665531
47713,37.954531, -87.559175
47714,37.956614, -87.521291
47715,37.972431, -87.479646
47720,38.062897, -87.641573
47725,38.106329, -87.524939
47802,39.351016, -87.411897
47803,39.466092, -87.307322
47804,39.497812, -87.389953
47805,39.546274, -87.326483
47807,39.472935, -87.403423
47809,39.471249, -87.410106
47832,39.880882, -87.258433
47833,39.358609, -86.975238
47834,39.525549, -87.121971
47836,39.646104, -87.179079
47837,39.627224, -87.114906
47838,38.961773, -87.383679
47840,39.408055, -87.056514
47841,39.273899, -87.114103
47842,39.678584, -87.463596
47846,39.381475, -87.193771
47847,39.831343, -87.485836
47848,39.042043, -87.261971
47849,39.195304, -87.563740
47850,39.251931, -87.435782
47853,39.538200, -87.072828
47854,39.803019, -87.403057
47855,39.189827, -87.304098
47857,39.524158, -87.091111
47858,39.262171, -87.224587
47859,39.881840, -87.172196
47860,39.721857, -87.330273
47861,39.073459, -87.570355
47862,39.767091, -87.342366
47863,39.589125, -87.454348
47865,39.020999, -87.391428
47866,39.292406, -87.321116
47868,39.411073, -86.902594
47869,39.273917, -87.496713
47871,39.389680, -87.299875
47872,39.753541, -87.153112
47874,39.628499, -87.270746
47876,39.516551, -87.458295
47879,39.197692, -87.378686
47880,39.599748, -87.418844
47881,39.485930, -87.192415
47882,39.091315, -87.410855
47884,39.612406, -87.448085
47885,39.510414, -87.477056
47901,40.417778, -86.889633
47904,40.438632, -86.876920
47905,40.420015, -86.766044
47906,40.479649, -86.989218
47907,40.424403, -86.915480
47909,40.324563, -86.896302
47916,39.983646, -87.055430
47917,40.466838, -87.473426
47918,40.298678, -87.198005
47920,40.540759, -86.833864
47921,40.477151, -87.375376
47922,40.876948, -87.348911
47923,40.610401, -86.940003
47924,40.487945, -86.762846
47925,40.878281, -86.748403
47926,40.780384, -86.595516
47928,39.921337, -87.472313
47929,40.670159, -86.912760
47930,40.237087, -86.742355
47932,40.134328, -87.415241
47933,40.038913, -86.896849
47940,40.117577, -86.746635
47941,40.376134, -86.773975
47942,40.686285, -87.444303
47943,41.063383, -87.273449
47944,40.616471, -87.330263
47946,40.981738, -86.868425
47948,40.777015, -87.281735
47949,40.060540, -87.137329
47950,40.802441, -86.654857
47951,40.789254, -87.444426
47952,39.959636, -87.299105
47954,39.899963, -86.818500
47955,40.196331, -86.861865
47957,41.086146, -86.874731
47958,40.164219, -87.142399
47959,40.862566, -86.900583
47960,40.779015, -86.751024
47963,40.984169, -87.431931
47964,40.952120, -87.298642
47965,39.954454, -86.920264
47966,39.885820, -87.396984
47967,40.196681, -87.001633
47968,39.959518, -86.749957
47969,40.205717, -87.148731
47970,40.462120, -87.143054
47971,40.532018, -87.233923
47974,40.042921, -87.480363
47975,40.449132, -87.253258
47977,40.755909, -87.164567
47978,40.986173, -87.112979
47980,40.752294, -86.909348
47981,40.245025, -86.930413
47982,40.197348, -87.527069
47983,40.279131, -86.767288
47987,40.125792, -87.233030
47989,39.890345, -87.049040
47990,40.061841, -87.054281
47991,40.284444, -87.463075
47992,40.319373, -87.048999
47993,40.309014, -87.412707
47994,40.169249, -87.062127
47995,40.761189, -87.030109
47997,40.667696, -86.723596

